,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Trang,20,TH,1571025121,83,7.56,99.61,302.15,2.6
1,Hobart,32,AU,1571024687,31,-42.88,147.33,296.15,5.1
2,Bredasdorp,8,ZA,1571024725,87,-34.53,20.04,285.15,2.1
3,Rosetta,42,EG,1571024796,78,31.4,30.42,298.37,5.03
4,Vaini,40,IN,1571024671,83,15.34,74.49,297.15,2.6
5,Faanui,9,PF,1571024680,75,-16.48,-151.75,298.3,7.368
6,Mar del Plata,0,AR,1571024703,67,-46.43,-67.52,280.12,2.429
7,Kathu,0,ZA,1571025123,32,-27.7,23.05,287.04,2.139
8,Pahrump,1,US,1571025124,11,36.21,-115.98,291.15,2.1
9,Longyearbyen,37,NO,1571024667,73,78.22,15.63,266.15,0.658
10,Kapaa,90,US,1571024663,66,22.08,-159.32,302.15,1.5
11,Bakchar,100,RU,1571024743,72,57.02,82.07,282.51,4.465
12,Sao Filipe,0,CV,1571024670,75,14.9,-24.5,298.73,8.324
13,Jerantut,74,MY,1571025125,62,3.94,102.37,304.07,0.413
14,Mataura,100,NZ,1571024672,67,-46.19,168.86,289.13,2.275
15,Cabo San Lucas,90,MX,1571024702,78,22.89,-109.91,300.15,10.8
16,Tooele,1,US,1571025125,48,40.53,-112.3,283.71,2.1
17,Kavaratti,40,IN,1571024694,79,10.57,72.64,302.15,2.6
18,Vanavara,100,RU,1571025126,83,60.35,102.28,272.68,3.834
19,Tarnogskiy Gorodok,96,RU,1571025126,90,60.5,43.58,279.08,4.512
20,Krasnovishersk,100,RU,1571025127,98,60.4,57.08,278.34,1.76
21,Pangnirtung,14,CA,1571024838,55,66.15,-65.72,268.01,1.031
22,Hilo,90,US,1571024785,69,19.71,-155.08,301.15,4.6
23,Yumen,0,CN,1571025128,31,40.29,97.04,279.85,10.945
24,Chateauroux,0,FR,1571025128,88,43.72,0.65,292.59,4.6
25,Talnakh,100,RU,1571025128,97,69.49,88.39,270.62,3.684
26,Broome,100,GB,1571024739,93,52.47,1.45,283.15,1.5
27,Shar,100,NG,1571025129,90,7.3,8.73,296.33,2.114
28,Khatanga,95,RU,1571024796,93,71.98,102.47,269.55,6.044
29,Rikitea,100,PF,1571024683,83,-23.12,-134.97,294.82,5.113
30,Malinovoye Ozero,92,RU,1571025130,38,51.68,79.77,286.64,7.255
